hospital_name,hospital_id,hospital_url,lon,lat
Atlanticare Regional Medical Center,atlanticare-regional-medical-center,https://www.atlanticare.org/patients-and-visitors/for-patients/billing-and-insurance/hospital-charge-list,-74.54040359999999,39.4783725
Aurora Health Care Metro Inc.,aurora-health-care-metro-inc.,https://www.aurorahealthcare.org/patients-visitors/billing-payment/health-care-costs#Auroras-Standard-Charges,-87.9521662,42.9936405
Baptist Health System (San Antonio),baptist-health-system-(san-antonio),https://www.baptisthealthsystem.com/for-patients/insurance-billing/billing-insurance-questions,-98.4278333,29.4390481
Baptist Hospital (Miami),baptist-hospital-(miami),https://baptisthealth.net/en/facilities/baptist-hospital-miami/pages/default.aspx,-80.336346699999993,25.6870576
Baptist Medical Center (Jacksonville),baptist-medical-center-(jacksonville),https://www.baptistjax.com/patient-info/billing-and-insurance-information/patient-cost-estimate-request/gross-charges,-81.6642845,30.3151441
Barnes Jewish Hospital,barnes-jewish-hospital,https://www.bjc.org/For-Patients-Billing-Visitors/Financial-Assistance-Resources/BJC-Hospital-Standard-Charges,-90.264764,38.63570139999999
Brigham and Womens Hospital,brigham-and-womens-hospital,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx,-71.1065443,42.3362325
California Pacific Medical Center,california-pacific-medical-center,https://www.sutterhealth.org/cpmc/for-patients/health-care-costs-and-charges,-122.4347006,37.7683466
California Pacific Medical Center R.K. Davies Medical Center,california-pacific-medical-center-r.k.-davies-medical-center,https://www.sutterhealth.org/for-patients/health-care-costs-and-charges,-122.4347006,37.7683466
Carolinas Medical Center,carolinas-medical-center,https://atriumhealth.org/for-patients-visitors/financial-assistance,-80.83885190000001,35.2035775
Cedars-Sinai Medical Center,cedars-sinai-medical-center,https://www.cedars-sinai.org/billing-insurance.html?_ga=2.134300401.1845895740.1546880925-1879661893.1546880925,-118.3804174,34.0753069
Central Dupage Hospital,central-dupage-hospital,https://www.nm.org/locations/central-dupage-hospital,-88.15551529999999,41.8734039
Chippenham and Johnston-Willis Medical Center,chippenham-and-johnston-willis-medical-center,https://chippenhammed.com/about/legal/detail-price-list.dot,-77.59481989999999,37.5104387
Cleveland Clinic Hospital,cleveland-clinic-hospital,https://my.clevelandclinic.org/patients/billing-insurance/patient-price-lists,-81.62098,41.502653
Communityu Regional Medical Center,communityu-regional-medical-center,https://www.communitymedical.org/for-patients-families/billing-and-insurance/Hospital-Standard-Charges,-119.7848543,36.742835
Cooper University Hospital,cooper-university-hospital,https://www.cooperhealth.org/patients-visitors/financial-matters/chargemaster,-75.11695569999999,39.9416291
Covenant Health System,covenant-health-system,https://www.covenanthealth.org/patients-and-visitors/for-patients/billing-and-payments/pricing/,-101.8922157,33.5762264
Crozer Chester Medical Center,crozer-chester-medical-center,https://www.crozerkeystone.org/patients-visitors/patient-financial-resources/consumer-price-transparency/,-75.3686353,39.8558875
Dallas County Hospital District,dallas-county-hospital-district,http://www.dallascohospital.org/price-transparency.cfm,-96.83853859999999,32.8107052
Doctors Medical Center of Modesto,doctors-medical-center-of-modesto,https://www.dmc-modesto.com/for-patients/insurance-financial-support/billing-insurance-questions,-120.9974913,37.6651655
Duke University Hospital,duke-university-hospital,https://www.dukehealth.org/paying-for-care/what-duke-charges-services,-78.93712029999999,36.0071459
Florida Hospital,florida-hospital,https://www.adventhealth.com/pricelist,-87.2182059,30.5157347
Geisinger Medical Center,geisinger-medical-center,https://www.geisinger.org/patient-care/patients-and-visitors/billing-and-insurance/tools-to-use/hospital-charge-list,-76.605639,40.9675384
Grady Memorial Hospital,grady-memorial-hospital,https://www.gradyhealth.org/billing-and-insurance/,-84.3819669,33.7517652
Grossmont Hospital,grossmont-hospital,https://www.sharp.com/chargemaster/grossmont/,-117.0075286,32.780617
